school_year,num_of_sems,country,university,department
2017,2,Canada,University of Waterloo,Department of Information Management
2017,2,Japan,Yokohama National University,Department of Public Health
2017,1,Sweden,Lund University,Department of Public Health
2017,2,France,EPF - Graduate School of Engineering,Department of Electrical Engineering
2017,1,US,University of Pittsburgh,Department of Electrical Engineering
2017,1,Germany,RWTH Aachen University,Department of Electrical Engineering
2017,2,Germany,TU Dortmund University,Department of Computer Science and Information Engineering
2017,1,Denmark,University of Copenhagen,Department of Law
2017,1,Singapore,National University of Singapore,Department of Law
2017,1,China,Beijing Normal University,Department of Chinese Literature
2017,1,New Zealand,The University of Auckland,Department of Foreign Languages and Literatures
2017,1,China,Guizhou University,Department of Foreign Languages and Literatures
2017,2,France,University of Technology of Troyes (UTT),Department of History
2017,2,Netherlands,Maastricht University,Department of History
2017,1,China,Wuhan University,Department of Philosophy
2017,2,South Korea,Yonsei University,Department of Philosophy
2017,1,China,Peking University,Department of Business Administration
2017,2,Japan,Kyushu University,Department of Japanese Language and Literature
2017,1,Japan,University of Tsukuba,Department of Horticultural Science
2017,2,Japan,Sophia University,Department of Japanese Language and Literature
2017,2,US,University of California,Department of Physics
2017,2,US,University of California,Department of Physics
2017,2,Hong Kong,The Hong Kong Polytechnic University,Department of Geosciences
2017,2,US,The California State University (CSU),Department of Geography
2017,1,Singapore,Nanyang Technological University,Department of Political Science
2017,2,Japan,Hitotsubashi University,Department of Political Science
2017,2,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Political Science
2017,1,China,Peking University,Department of Political Science
2017,1,South Korea,Ewha Womans University,Department of Political Science
2017,2,Canada,University of Toronto,Department of Economics
2017,1,Malaysia,Universiti Sains Malaysia,Department of Economics
2017,2,Germany,Ludwig Maximilian University of Munich,Department of Economics
2017,2,Japan,Tokyo University of Foreign Studies,Department of Economics
2017,2,UK,University of Sussex,Department of Sociology
2017,2,Singapore,National University of Singapore,Department of Social Work
2017,2,Japan,Nagasaki University,Department of Mechanical Engineering
2017,2,US,The California State University (CSU),Department of Materials Science and Engineering
2017,1,Hong Kong,The Chinese University of Hong Kong,Department of Bio-industrial Mechatronics Engineering
2017,2,Italy,Catholic University of the Sacred Heart,Department of Bio-Industry Communication and Development
2017,2,Finland,University of Helsinki,Department of Bio-Industry Communication and Development
2017,2,Canada,University of Waterloo,Department of Bio-industrial Mechatronics Engineering
2017,2,US,University of Connecticut (UConn),Department of Business Administration
2017,1,China,Shanghai Jiao Tong University,Department of Business Administration
2017,2,US,Arizona State University,Department of Business Administration
2017,2,Germany,Technical University of Munich,Department of Business Administration
2017,1,China,Renmin University of China,Department of Finance
2017,2,Singapore,National University of Singapore,Department of Finance
2017,2,Canada,Université de Montréal,Department of Finance
2017,1,China,Tsinghua University,Department of Finance
2017,1,US,University of Washington,Department of International Business
2017,1,UK,University of Edinburgh,Department of International Business
2017,1,Australia,The University of Melbourne,Department of International Business
2017,1,Switzerland,University of St. Gallen,Department of International Business
2017,2,Netherlands,Utrecht University,Department of International Business
2017,1,US,University of Washington,Department of Public Health
2017,1,Italy,University of Bologna,Department of Law
2017,2,Canada,University of Victoria,Department of Medicine
2017,2,Canada,The University of British Columbia (UBC),Department of Chinese Literature
2017,1,China,Peking University,Department of Chinese Literature
2017,1,China,Huazhong University of Science and Technology,Department of Business Administration
2017,2,Japan,Nihon University,Department of Drama and Theatre
2017,1,Spain,Autonomous University of Barcelona,Department of Bio-Industry Communication and Development
2017,2,Japan,Osaka University,Department of Japanese Language and Literature
2017,1,Germany,Ruhr-University Bochum,Department of Foreign Languages and Literatures
2017,2,Japan,Nagoya University,Department of Computer Science and Information Engineering
2017,1,China,Renmin University of China,Department of History
2017,2,Germany,Ruhr-University Bochum,Department of Foreign Languages and Literatures
2017,1,Norway,University of Oslo,Department of Law
2017,2,US,University of Connecticut (UConn),Department of Accounting
2017,2,US,University of Maryland (UMD),Department of Geosciences
2017,2,Spain,Autonomous University of Barcelona,Department of Foreign Languages and Literatures
2017,1,Canada,The University of British Columbia (UBC),Department of Psychology
2017,1,Canada,Simon Fraser University (SFU),Department of Electrical Engineering
2017,1,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Foreign Languages and Literatures
2017,2,US,Arizona State University,Department of Finance
2017,1,Brazil,Pontifícia Universidade Católica do Rio de Janeiro,Department of Entomology
2017,1,US,The California State University (CSU),Department of Chinese Literature
2017,1,Spain,Complutense University of Madrid,Department of Foreign Languages and Literatures
2017,2,Austria,Johannes Kepler University of Linz,Department of International Business
2017,1,China,Peking University,Department of Political Science
2017,1,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Finance
2017,1,Germany,University of Hamburg,Department of Political Science
2017,1,US,Hawai‘i Pacific University (HPU),Department of Drama and Theatre
2017,2,US,Temple University,Department of Economics
2017,1,Hong Kong,City University of Hong Kong,Department of Bioenvironmental Systems Engineering
2017,1,Hong Kong,Lingnan University,Department of Drama and Theatre
2017,1,Australia,Griffith University,Department of Biochemical Science and Technology
2017,2,US,"Rutgers, The State University of New Jersey",Department of Biochemical Science and Technology
2017,1,Hong Kong,The Chinese University of Hong Kong,Department of Foreign Languages and Literatures
2017,2,Japan,University of the Ryukyus,Department of Japanese Language and Literature
2017,1,Germany,University of Bonn,Department of Plant Pathology and Microbiology
2017,2,Austria,Johannes Kepler University of Linz,Department of Library and Information Science
2017,2,Germany,Humboldt-University Berlin,Department of Philosophy
2017,2,South Korea,Sungkyunkwan University,Department of Law
2017,2,Japan,Tohoku University,Department of Horticultural Science
2017,1,UK,University of Manchester,Department of Sociology
2017,2,Australia,The Australian National University,Department of International Business
2017,1,Japan,University of Tokyo,Department of Sociology
2017,1,Japan,University of Tokyo,Department of Political Science
2017,1,US,University of Illinois at Urbana-Champaign (UIUC),Department of Horticultural Science
2017,1,US,University of Illinois at Urbana-Champaign (UIUC),Department of Horticultural Science
2017,1,US,University of Illinois at Urbana-Champaign (UIUC),Department of Horticultural Science
2016,2,France,University of Paris Ouest - Nanterre La Défense,Department of Foreign Languages and Literatures
2016,2,Japan,Nihon University,Department of Bio-Industry Communication and Development
2016,1,China,Lanzhou University,Department of Anthropology
2016,2,Japan,Akita International University,Department of Drama and Theatre
2016,2,Japan,University of the Ryukyus,Department of Geosciences
2016,2,France,University of Rennes 1,Department of Chinese Literature
2016,2,Hong Kong,The Chinese University of Hong Kong,Department of Chinese Literature
2016,2,Japan,Sophia University,Department of Foreign Languages and Literatures
2016,2,Austria,University of Vienna,Department of Foreign Languages and Literatures
2016,1,US,University of Maryland (UMD),Department of Foreign Languages and Literatures
2016,2,UK,University of Southampton,Department of Foreign Languages and Literatures
2016,1,US,The University of North Carolina at Chapel Hill (UNC),Department of Foreign Languages and Literatures
2016,2,Australia,The Australian National University,Department of Foreign Languages and Literatures
2016,1,China,Nanjing University,Department of Foreign Languages and Literatures
2016,2,US,University of Georgia,Department of Foreign Languages and Literatures
2016,1,Netherlands,VU University Amsterdam,Department of Foreign Languages and Literatures
2016,2,South Korea,Sungkyunkwan University,Department of Foreign Languages and Literatures
2016,2,Canada,Université de Montréal,Department of Foreign Languages and Literatures
2016,2,Thailand,Thammasat University,Department of Foreign Languages and Literatures
2016,1,Netherlands,Leiden University,Department of Foreign Languages and Literatures
2016,1,Finland,University of Helsinki,Department of Foreign Languages and Literatures
2016,2,Malaysia,Universiti Sains Malaysia,Department of Foreign Languages and Literatures
2016,1,Germany,University of Stuttgart,Department of History
2016,2,Canada,The University of British Columbia (UBC),Department of History
2016,2,Japan,University of the Ryukyus,Department of History
2016,2,Sweden,Uppsala University,Department of History
2016,1,South Korea,Ewha Womans University,Department of History
2016,2,France,University of Rennes 1,Department of Philosophy
2016,2,US,The University of North Carolina at Chapel Hill (UNC),Department of Philosophy
2016,1,Canada,University of Prince Edward Island,Department of Anthropology
2016,1,China,Peking University,Department of History
2016,1,China,Peking University,Department of Anthropology
2016,2,Canada,The University of British Columbia (UBC),Department of Anthropology
2016,1,US,University of Hawai‘i at Mānoa (UHM),Department of Anthropology
2016,1,UK,University of Southampton,Department of Library and Information Science
2016,1,Germany,Karlsruhe Institute of Technology,Department of Library and Information Science
2016,2,Japan,Kyoto University,Department of Japanese Language and Literature
2016,1,Japan,Doshisha University,Department of Japanese Language and Literature
2016,2,Japan,Tohoku University,Department of Japanese Language and Literature
2016,1,South Korea,Hanyang University,Department of Japanese Language and Literature
2016,1,China,Peking University,Department of Bio-Industry Communication and Development
2016,2,Japan,Tokyo Gakugei University,Department of Drama and Theatre
2016,2,France,Lille Catholic University,Department of Drama and Theatre
2016,1,South Korea,Seoul National University,Department of Chemistry
2016,2,Austria,Johannes Kepler University of Linz,Department of Chemistry
2016,1,Germany,RWTH Aachen University,Department of Electrical Engineering
2016,2,France,Sorbonne University ( University Pierre and Marie CURIE ),Department of Chemistry
2016,2,Germany,University of Stuttgart,Department of Chemistry
2016,1,Iceland,University of Iceland,Department of Geosciences
2016,1,Hong Kong,The University of Hong Kong,Department of Economics
2016,1,Germany,Ulm University,Department of Chemistry
2016,1,Japan,Tokyo Institute of Technology,Department of Mechanical Engineering
2016,1,China,Tianjin University,Department of Psychology
2016,1,UK,University of Edinburgh,Department of Psychology
2016,1,Hong Kong,The Hong Kong Polytechnic University,Department of Psychology
2016,2,Japan,Keio University,Department of Geography
2016,1,Belgium,Université Libre de Bruxelles,Department of Political Science
2016,1,UK,University of Edinburgh,Department of Political Science
2016,2,US,The University of Oklahoma,Department of Political Science
2016,2,South Korea,Yonsei University,Department of Political Science
2016,2,Netherlands,Maastricht University,Department of Economics
2016,2,Germany,Friedrich-Alexander - University Erlangen-Nurnberg,Department of Political Science
2016,2,Portugal,University of Porto,Department of Political Science
2016,2,US,The University of Oklahoma,Department of Political Science
2016,1,South Korea,Ewha Womans University,Department of Political Science
2016,1,Hong Kong,The Chinese University of Hong Kong,Department of Political Science
2016,1,Denmark,University of Copenhagen,Department of Political Science
2016,1,China,Harbin Institute of Technology,Department of Political Science
2016,1,China,Peking University,Department of Political Science
2016,1,Canada,Simon Fraser University (SFU),Department of Political Science
2016,2,Germany,Humboldt-University Berlin,Department of Political Science
2016,2,France,University of Rennes 1,Department of Political Science
2016,1,Finland,University of Helsinki,Department of Political Science
2016,1,Australia,The University of New South Wales,Department of Economics
2016,2,Germany,Free University of Berlin,Department of Economics
2016,2,Japan,Hokkaido University,Department of Sociology
2016,1,Hong Kong,The University of Hong Kong,Department of Economics
2016,1,Australia,The University of New South Wales,Department of Economics
2016,1,Canada,Simon Fraser University (SFU),Department of Sociology
2016,1,Hong Kong,City University of Hong Kong,Department of Agricultural Economics
2016,2,Germany,University of Bonn,Department of Social Work
2016,1,China,Shanghai Jiao Tong University,Department of Social Work
2016,2,Hong Kong,The Chinese University of Hong Kong,Department of Bio-Industry Communication and Development
2016,2,Czechia,Masaryk University,Department of Clinical Laboratory Sciences and Medical Biotechnology
2016,1,Germany,Ruhr-University Bochum,Department of Civil Engineering
2016,1,Canada,The University of British Columbia (UBC),Department of Chemical Engineering
2016,1,Canada,University of Waterloo,Department of Civil Engineering
2016,2,Japan,Nagoya University of Foreign Studies,Department of Mechanical Engineering
2016,2,Japan,Osaka University,Department of Mechanical Engineering
2016,1,US,Arizona State University,Department of Chemical Engineering
2016,2,Singapore,Nanyang Technological University,Department of Chemical Engineering
2016,1,Germany,Ulm University,Department of Chemical Engineering
2016,2,France,Sorbonne University ( University Pierre and Marie CURIE ),Department of Chemical Engineering
2016,1,Austria,Johannes Kepler University of Linz,Department of Materials Science and Engineering
2016,1,South Korea,Pusan National University,Department of Bioenvironmental Systems Engineering
2016,1,Poland,University of Warsaw,Department of Forestry and Resource Conservation
2016,1,Lithuania,Vilnius University,Department of Forestry and Resource Conservation
2016,2,Canada,University of Ottawa,Department of Forestry and Resource Conservation
2016,1,China,Wuhan University of Technology,Department of Animal Science and Technology
2016,2,New Zealand,Victoria University of Wellington,Department of Animal Science and Technology
2016,1,Japan,University of Tsukuba,Department of Animal Science and Technology
2016,2,Australia,Griffith University,Department of Animal Science and Technology
2016,2,Japan,Soka University,Department of Horticultural Science
2016,1,Netherlands,Leiden University,Department of Horticultural Science
2016,1,US,Arizona State University,Department of Bio-Industry Communication and Development
2016,2,France,Lille Catholic University,Department of Bio-Industry Communication and Development
2016,1,South Korea,Seoul National University,Department of Bio-Industry Communication and Development
2016,2,Japan,Meiji University,Department of Bio-Industry Communication and Development
2016,1,China,Southeast University,Department of Bio-Industry Communication and Development
2016,1,Italy,Catholic University of the Sacred Heart,Department of Bio-Industry Communication and Development
2016,1,US,University of Maryland (UMD),Department of Bio-Industry Communication and Development
2016,2,Germany,Ruhr-University Bochum,Department of Bio-industrial Mechatronics Engineering
2016,1,China,Shanghai Jiao Tong University,Department of Entomology
2016,1,Hong Kong,The University of Hong Kong,Department of Agricultural Chemistry
2016,1,Australia,The University of Melbourne,Department of Entomology
2016,1,Lithuania,Vilnius University,Department of Plant Pathology and Microbiology
2016,2,South Korea,Ewha Womans University,Department of Business Administration
2016,2,Thailand,Chulalongkorn University,Department of Finance
2016,1,China,Nanjing University,Department of Finance
2016,1,South Korea,Pusan National University,Department of Finance
2016,2,Japan,Akita International University,Department of Finance
2016,1,Hong Kong,The University of Hong Kong,Department of Finance
2016,1,Germany,Ruhr-University Bochum,Department of Finance
2016,1,China,China Agricultural University,Department of International Business
2016,2,France,Institut d’Études Politiques de Paris (Sciences Po),Department of International Business
2016,1,China,Shanghai Jiao Tong University,Department of International Business
2016,2,Hong Kong,The Chinese University of Hong Kong,Department of Information Management
2016,2,US,Temple University,Department of Information Management
2016,2,Spain,Pompeu Fabra University,Department of Electrical Engineering
2016,1,Singapore,Nanyang Technological University,Department of Electrical Engineering
2016,2,Japan,Ritsumeikan University,Department of Computer Science and Information Engineering
2016,1,US,Arizona State University,Department of Life Science
2016,1,Finland,University of Helsinki,Department of Biochemical Science and Technology
2016,1,France,Sorbonne Paris North University,Department of Biochemical Science and Technology
2016,1,Germany,Ruhr-University Bochum,Department of Bio-Industry Communication and Development
2016,1,US,North Carolina State University (NC State),Department of Chinese Literature
2016,1,China,Sun Yat-sen University,Department of Chinese Literature
2016,2,Hong Kong,City University of Hong Kong,Department of Foreign Languages and Literatures
2016,1,Netherlands,Leiden University,Department of Foreign Languages and Literatures
2016,2,Japan,Kyoto University,Department of Foreign Languages and Literatures
2016,1,Spain,Autonomous University of Barcelona,Department of Foreign Languages and Literatures
2016,1,Iceland,University of Iceland,Department of Foreign Languages and Literatures
2016,1,Japan,University of Tsukuba,Department of Foreign Languages and Literatures
2016,1,UK,University of Edinburgh,Department of Foreign Languages and Literatures
2016,2,Spain,University of Santiago de Compostela,Department of Foreign Languages and Literatures
2016,1,Czechia,Masaryk University,Department of Foreign Languages and Literatures
2016,2,France,Lille Catholic University,Department of Foreign Languages and Literatures
2016,1,South Korea,Sungkyunkwan University,Department of Foreign Languages and Literatures
2016,2,Japan,Kobe University,Department of History
2016,2,Malaysia,University of Malaya,Department of History
2016,1,China,Sun Yat-sen University,Department of History
2016,1,China,Beijing Normal University,Department of History
2016,1,China,Peking University,Department of History
2016,2,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Philosophy
2016,1,China,Huazhong University of Science and Technology,Department of Philosophy
2016,1,Japan,Yokohama National University,Department of Anthropology
2016,1,US,State University of New York at Albany,Department of Political Science
2016,2,Japan,Aoyama Gakuin University,Department of Political Science
2016,2,Spain,Pompeu Fabra University,Department of Library and Information Science
2016,2,Sweden,Umeå University,Department of Library and Information Science
2016,2,Norway,University of Oslo,Department of Library and Information Science
2016,2,Singapore,Nanyang Technological University,Department of Library and Information Science
2016,1,China,Renmin University of China,Department of Library and Information Science
2016,1,Netherlands,VU University Amsterdam,Department of Library and Information Science
2016,2,Japan,Tokyo Gakugei University,Department of Japanese Language and Literature
2016,2,Japan,Soka University,Department of Japanese Language and Literature
2016,2,Japan,Kyushu University,Department of Japanese Language and Literature
2016,2,Japan,Ochanomizu University,Department of Japanese Language and Literature
2016,2,Japan,Nagoya University of Foreign Studies,Department of Japanese Language and Literature
2016,2,Japan,Nagoya University,Department of Japanese Language and Literature
2016,2,Japan,Nagasaki University,Department of Japanese Language and Literature
2016,2,Japan,Kanazawa University,Department of Japanese Language and Literature
2016,2,Japan,Okayama University,Department of Japanese Language and Literature
2016,2,Japan,Kyushu University,Department of Japanese Language and Literature
2016,2,Japan,Osaka University,Department of Japanese Language and Literature
2016,2,Japan,Nagasaki University,Department of Japanese Language and Literature
2016,2,Japan,Nagasaki University,Department of Japanese Language and Literature
2016,2,Japan,University of Tsukuba,Department of Japanese Language and Literature
2016,2,Japan,Hokkaido University,Department of Japanese Language and Literature
2016,2,Japan,Osaka University,Department of Japanese Language and Literature
2016,2,Japan,Tokyo Gakugei University,Department of Japanese Language and Literature
2016,2,Japan,Kobe University,Department of Japanese Language and Literature
2016,2,Canada,The University of British Columbia (UBC),Department of Physics
2016,2,Canada,The University of British Columbia (UBC),Department of Physics
2016,2,Norway,University of Oslo,Department of Chemistry
2016,1,Germany,RWTH Aachen University,Department of Psychology
2016,2,South Korea,Seoul National University,Department of Geography
2016,2,South Korea,Hanyang University,Department of Drama and Theatre
2016,2,France,University of Paris Ouest - Nanterre La Défense,Department of Political Science
2016,1,South Korea,Korea University,Department of Political Science
2016,2,US,University of Maryland (UMD),Department of Political Science
2016,1,Hong Kong,City University of Hong Kong,Department of Political Science
2016,1,Netherlands,Utrecht University,Department of Accounting
2016,1,China,Shanghai Jiao Tong University,Department of Political Science
2016,2,UK,University of Edinburgh,Department of Political Science
2016,1,Canada,University of Toronto,Department of Political Science
2016,2,US,University of Oregon,Department of Economics
2016,2,Canada,University of Prince Edward Island,Department of Economics
2016,1,China,Peking University,Department of Economics
2016,1,US,University of Wisconsin-Madison,Department of Economics
2016,2,Japan,Nihon University,Department of Japanese Language and Literature
2016,1,Brazil,Universidade Estadual de Campinas (UNICAMP),Department of Sociology
2016,1,Norway,University of Oslo,Department of Social Work
2016,1,China,Beijing Normal University,Department of Bio-Industry Communication and Development
2016,2,Japan,Waseda University,Department of Physical Therapy
2016,1,Switzerland,University of Lausanne,Department of Business Administration
2016,2,Sweden,KTH Royal Institute of Technology,Department of Mechanical Engineering
2016,1,Germany,University of Stuttgart,Department of Mechanical Engineering
2016,1,China,Sichuan University,Department of Chemical Engineering
2016,1,Canada,The University of British Columbia (UBC),Department of Chemical Engineering
2016,1,Sweden,Stockholm University,Department of Bioenvironmental Systems Engineering
2016,2,Japan,Nagasaki University,Department of Forestry and Resource Conservation
2016,1,Latvia,University of Latvia,Department of Agricultural Economics
2016,2,Canada,Queen's University,Department of Economics
2016,1,Germany,University of Tubingen,Department of Agricultural Economics
2016,2,US,University of California,Department of Biochemical Science and Technology
2016,2,UK,University of Edinburgh,Department of Bio-Industry Communication and Development
2016,1,China,Zhejiang Univeristy,Department of Bio-Industry Communication and Development
2016,1,China,Peking University,Department of Bio-Industry Communication and Development
2016,2,UK,University of Sussex,Department of Bio-Industry Communication and Development
2016,1,China,Renmin University of China,Department of Bio-Industry Communication and Development
2016,1,Hong Kong,City University of Hong Kong,Department of Sociology
2016,2,US,University of Connecticut (UConn),Department of Business Administration
2016,1,Netherlands,Leiden University,Department of Business Administration
2016,2,Japan,Tokyo Gakugei University,Department of Business Administration
2016,1,US,Arizona State University,Department of Business Administration
2016,1,Switzerland,University of St. Gallen,Department of Accounting
2016,2,Japan,University of Tsukuba,Department of Accounting
2016,1,China,Peking University,Department of Accounting
2016,1,Netherlands,University of Groningen,Department of Accounting
2016,1,US,University of Pittsburgh,Department of Business Administration
2016,1,US,University of Hawai‘i at Mānoa (UHM),Department of Accounting
2016,1,China,Shanghai Jiao Tong University,Department of Accounting
2016,1,Austria,Johannes Kepler University of Linz,Department of Accounting
2016,1,UK,University of Edinburgh,Department of Finance
2016,1,UK,University of Edinburgh,Department of Finance
2016,2,Germany,University of Mannheim,Department of Finance
2016,1,US,University of Washington,Department of Finance
2016,2,Germany,University of Hamburg,Department of Finance
2016,1,Singapore,Singapore Management University,Department of Finance
2016,2,Japan,Okayama University,Department of Finance
2016,2,US,University of Pittsburgh,Department of Finance
2016,1,Netherlands,Leiden University,Department of Finance
2016,1,China,Shanghai Jiao Tong University,Department of Finance
2016,1,South Korea,Ewha Womans University,Department of International Business
2016,1,France,Institut d’Études Politiques de Paris (Sciences Po),Department of International Business
2016,2,Japan,Osaka University,Department of International Business
2016,1,Netherlands,Utrecht University,Department of International Business
2016,2,France,Lille Catholic University,Department of International Business
2016,1,France,Institut d’Études Politiques de Paris (Sciences Po),Department of International Business
2016,1,Netherlands,Leiden University,Department of International Business
2016,2,Netherlands,Maastricht University,Department of International Business
2016,2,Italy,University of Bologna,Department of International Business
2016,2,France,Lille Catholic University,Department of International Business
2016,1,France,Sorbonne Paris North University,Department of International Business
2016,1,UK,University of Edinburgh,Department of International Business
2016,1,Switzerland,University of Lausanne,Department of International Business
2016,2,Japan,Ochanomizu University,Department of International Business
2016,1,Sweden,Lund University,Department of Information Management
2016,1,China,Zhejiang Univeristy,Department of Information Management
2016,1,Germany,Technical University of Berlin,Department of Information Management
2016,1,Sweden,Linköping University,Department of Information Management
2016,1,Japan,University of Tsukuba,Department of Public Health
2016,1,Japan,Tokyo Institute of Technology,Department of Electrical Engineering
2016,2,Japan,Tokyo Institute of Technology,Department of Electrical Engineering
2016,2,France,Sorbonne University ( University Pierre and Marie CURIE ),Department of Computer Science and Information Engineering
2016,2,France,University of Technology of Troyes (UTT),Department of Computer Science and Information Engineering
2016,2,France,University of Technology of Troyes (UTT),Department of Computer Science and Information Engineering
2016,1,China,Peking University,Department of Law
2016,2,Hong Kong,The Chinese University of Hong Kong,Department of Law
2016,1,Netherlands,University of Groningen,Department of Law
2016,1,France,Sorbonne Paris North University,Department of Life Science
2016,2,Italy,University of Bologna,Department of Life Science
2016,2,Australia,The University of Melbourne,Department of Life Science
2016,1,Finland,University of Helsinki,Department of Life Science
2016,2,Singapore,National University of Singapore,Department of Biochemical Science and Technology
2016,2,Japan,Akita International University,Department of Biochemical Science and Technology
2016,1,Spain,Autonomous University of Barcelona,Department of Biochemical Science and Technology
2016,1,Netherlands,University of Groningen,Department of Chinese Literature
2016,1,Netherlands,University of Groningen,Department of Chinese Literature
2016,2,US,University of California,Department of Foreign Languages and Literatures
2016,1,Poland,University of Warsaw,Department of Foreign Languages and Literatures
2016,2,US,"Rutgers, The State University of New Jersey",Department of Foreign Languages and Literatures
2016,1,Spain,Complutense University of Madrid,Department of Foreign Languages and Literatures
2016,1,Czechia,Charles University,Department of Foreign Languages and Literatures
2016,1,China,Peking University,Department of History
2016,1,China,Peking University,Department of History
2016,1,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Law
2016,1,China,Fudan University,Department of Philosophy
2016,1,Hong Kong,The University of Hong Kong,Department of Bio-Industry Communication and Development
2016,2,France,University Jean Moulin - Lyon 3,Department of Political Science
2016,1,Sweden,Umeå University,Department of Library and Information Science
2016,1,China,Tsinghua University,Department of Japanese Language and Literature
2016,1,China,Tsinghua University,Department of Physics
2016,1,New Zealand,The University of Auckland,Department of Chemistry
2016,1,US,University of Wisconsin-Madison,Department of Psychology
2016,1,Hong Kong,The Chinese University of Hong Kong,Department of Geography
2016,1,China,Tsinghua University,Department of Political Science
2016,2,Singapore,National University of Singapore,Department of Political Science
2016,2,Sweden,Umeå University,Department of Political Science
2016,1,Italy,Catholic University of the Sacred Heart,Department of Political Science
2016,1,China,Fudan University,Department of Economics
2016,1,Netherlands,Leiden University,Department of Political Science
2016,1,China,Fudan University,Department of Economics
2016,1,Canada,University of Toronto,Department of Economics
2016,1,US,University of Connecticut (UConn),Department of Economics
2016,2,Germany,Free University of Berlin,Department of Sociology
2016,1,Netherlands,Utrecht University,Department of Sociology
2016,2,US,"Rutgers, The State University of New Jersey",Department of Medicine
2016,2,Canada,University of Waterloo,Department of Civil Engineering
2016,2,US,University of California,Department of Mechanical Engineering
2016,1,Canada,University of Waterloo,Department of Chemical Engineering
2016,2,US,North Carolina State University (NC State),Department of Veterinary Medicine
2016,1,Sweden,Stockholm University,Department of Accounting
2016,2,US,University of California,Department of Accounting
2016,2,France,Sorbonne University ( University Pierre and Marie CURIE ),Department of Biochemical Science and Technology
2016,1,Sweden,Lund University,Department of Mechanical Engineering
2016,1,Netherlands,University of Groningen,Department of Business Administration
2016,1,US,North Carolina State University (NC State),Department of Business Administration
2016,2,France,University Jean Moulin - Lyon 3,Department of Accounting
2016,2,Japan,Kansai University,Department of Accounting
2016,1,Netherlands,Leiden University,Department of Accounting
2016,2,Poland,University of Warsaw,Department of Accounting
2016,2,Germany,University of Mannheim,Department of Accounting
2016,2,UK,University of Manchester,Department of Finance
2016,1,US,The University of Oklahoma,Department of Finance
2016,2,US,The California State University (CSU),Department of International Business
2016,1,Netherlands,VU University Amsterdam,Department of International Business
2016,1,US,North Carolina State University (NC State),Department of Information Management
2016,1,China,Fudan University,Department of Physical Therapy
2016,1,Germany,Technical University of Munich,Department of Electrical Engineering
2016,2,US,University of Wisconsin-Madison,Department of Electrical Engineering
2016,1,US,University of California,Department of Law
2016,2,US,The University of North Carolina at Chapel Hill (UNC),Department of Life Science
2016,1,Singapore,Nanyang Technological University,Department of Life Science
2016,2,UK,University of Edinburgh,Department of Biochemical Science and Technology
2016,2,Sweden,Uppsala University,Department of Biochemical Science and Technology
2016,2,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Foreign Languages and Literatures
2016,1,Sweden,Linköping University,Department of Pharmacy
2016,1,China,Shanghai Jiao Tong University,Department of Political Science
2016,1,US,The University of North Carolina at Chapel Hill (UNC),Department of Economics
2016,1,US,The University of Utah (U of U),Department of Drama and Theatre
2016,1,US,State University of New York at Albany,Department of Drama and Theatre
2016,1,Netherlands,University of Groningen,Department of Law
2016,1,US,University of Illinois at Urbana-Champaign (UIUC),Department of Horticultural Science
2016,2,US,University of California,Department of Chemical Engineering
2016,1,US,University of California,Department of International Business
2016,1,US,University of California,Department of Electrical Engineering
2016,1,US,University of California,Department of Electrical Engineering
2016,1,Germany,Humboldt-University Berlin,Department of Economics
2016,1,Germany,Humboldt-University Berlin,Department of Political Science
2016,1,Spain,Complutense University of Madrid,Department of Political Science
2015,2,Japan,University of Tokyo,Department of Economics
2015,2,Japan,University of Tokyo,Department of Economics
2015,2,US,University of California,Department of Physics
2015,1,Malaysia,Universiti Sains Malaysia,Department of Geosciences
2015,1,US,Temple University,Department of Political Science
2015,1,Japan,Aoyama Gakuin University,Department of Foreign Languages and Literatures
2015,2,France,Lille Catholic University,Department of Foreign Languages and Literatures
2015,1,Australia,Griffith University,Department of Foreign Languages and Literatures
2015,2,France,University of Paris Ouest - Nanterre La Défense,Department of Foreign Languages and Literatures
2015,2,Czechia,Masaryk University,Department of Foreign Languages and Literatures
2015,2,Japan,University of the Ryukyus,Department of Foreign Languages and Literatures
2015,1,South Korea,Ewha Womans University,Department of Foreign Languages and Literatures
2015,2,US,The University of North Carolina at Chapel Hill (UNC),Department of Foreign Languages and Literatures
2015,2,Germany,University of Stuttgart,Department of Foreign Languages and Literatures
2015,2,US,The University of Utah (U of U),Department of Foreign Languages and Literatures
2015,2,Japan,Tokyo Gakugei University,Department of Philosophy
2015,2,Japan,University of the Ryukyus,Department of Philosophy
2015,1,China,Xi'an Jiaotong University,Department of Bio-Industry Communication and Development
2015,1,China,Beijing Normal University,Department of Philosophy
2015,1,Singapore,Nanyang Technological University,Department of Agricultural Economics
2015,2,South Korea,Seoul National University,Department of Library and Information Science
2015,1,New Zealand,Victoria University of Wellington,Department of Library and Information Science
2015,2,Germany,Free University of Berlin,Department of Business Administration
2015,2,Japan,Doshisha University,Department of Japanese Language and Literature
